rank,excel_row_number,ID,年份,批次,院校代码,院校名称,院校专业组代码,专业组名称,专业代码,专业名称,专业全称,城市,学费,专业组最低位次1,最低位次1,院校标签,院校排名,ranking_key,safety_margin_pct,cooperation_filter_status
1,8950,8947,2024,本科批,10590,深圳大学,10590251,251组(地方专项),353,计算机类,计算机类(含：计算机科学与技术、计算机科学与技术(创新班)、软件工程，第二学期专业分流，地方专项计划，粤海校区),深圳,6853.0,38998,15214,省重点/保研资格,72,3798,0.2187,not_executed_missing_cooperation_type_field
2,29577,29574,2024,本科批,14655,深圳技术大学,14655203,203组,006,计算机科学与技术,计算机科学与技术(腾安班，校企联合培养，校本部),深圳,6200.0,42938,24887,,/,7738,0.3418,not_executed_missing_cooperation_type_field
3,29578,29575,2024,本科批,14655,深圳技术大学,14655203,203组,007,计算机科学与技术,计算机科学与技术(校本部),深圳,6200.0,42938,31817,,/,7738,0.3418,not_executed_missing_cooperation_type_field
4,15844,15841,2024,本科批,11846,广东外语外贸大学,11846212,212组,075,计算机类,计算机类(含：计算机科学与技术、软件工程、网络空间安全，第二学期专业分流，大学城校区),广州,6853.0,50802,,省重点/保研资格,164,15602,0.5876,not_executed_missing_cooperation_type_field
5,30588,30585,2024,本科批,80003,广东工业大学(揭阳校区),80003252,252组,154,计算机科学与技术,计算机科学与技术(揭阳校区),广州,6850.0,58867,48752,省重点/保研资格,100,23667,0.8396,not_executed_missing_cooperation_type_field
6,9086,9083,2024,本科批,10592,广东财经大学,10592219,219组(地方专项),001,计算机科学与技术,计算机科学与技术(地方专项计划，第一、二学年佛山校区，第三、四学年广州校区),广州,6230.0,68770,62371,省重点,319,33570,1.1491,not_executed_missing_cooperation_type_field
7,9066,9063,2024,本科批,10592,广东财经大学,10592212,212组,247,计算机科学与技术,计算机科学与技术(第一、二学年佛山校区，第三、四学年广州校区),广州,6230.0,71086,63556,省重点,319,35886,1.2214,not_executed_missing_cooperation_type_field
8,9067,9064,2024,本科批,10592,广东财经大学,10592212,212组,248,计算机科学与技术,计算机科学与技术(创新实验班，第一、二学年佛山校区，第三、四学年广州校区),广州,6230.0,71086,59966,省重点,319,35886,1.2214,not_executed_missing_cooperation_type_field
9,12668,12665,2024,本科批,11078,广州大学,11078203,203组,155,计算机科学与技术,计算机科学与技术(含：景中院士班，大学城校区)(不招单色识别不全者),广州,6850.0,75046,,保研资格,98,39846,1.3452,not_executed_missing_cooperation_type_field
10,8662,8659,2024,本科批,10588,广东技术师范大学,10588205,205组(地方专项),032,计算机科学与技术,计算机科学与技术(师范，地方专项计划，第一学年河源校区，第二至四学年广州校区),广州,5710.0,82127,,,328,46927,1.5665,not_executed_missing_cooperation_type_field
11,8676,8673,2024,本科批,10588,广东技术师范大学,10588208,208组,046,计算机科学与技术,计算机科学与技术(第一学年河源校区，第二至四学年广州校区),广州,5710.0,88077,75009,,328,52877,1.7524,not_executed_missing_cooperation_type_field
12,8677,8674,2024,本科批,10588,广东技术师范大学,10588208,208组,047,计算机科学与技术,计算机科学与技术(师范，第一学年河源校区，第二至四学年广州校区),广州,5710.0,88077,81763,,328,52877,1.7524,not_executed_missing_cooperation_type_field
13,7373,7370,2024,本科批,10564,华南农业大学,10564252,252组(国际班),254,计算机科学与技术,计算机科学与技术(国际班，2+2培养模式，与英国卡迪夫大学等国外高校学分互认项目，国内学习期间，学费6853元/学年，住宿费1200-1500元/学年，另需缴纳国际化培养费36000元/学年，英文授课，校本部)(请非英语语种的考生慎重报考，成绩要求：外语≥90),广州,6853.0,88276,,双一流/国重点/保研资格/乡村振兴人才培养优质校,94,53076,1.7586,not_executed_missing_cooperation_type_field
14,27942,27939,2024,本科批,14278,广东第二师范学院,14278206,206组,021,计算机科学与技术,计算机科学与技术(师范，广州花都校区)(不招单色识别不全者),广州,5190.0,103608,101079,,412,68408,2.2378,not_executed_missing_cooperation_type_field
15,14644,14641,2024,本科批,11540,广东金融学院,11540232,232组(地方专项),358,计算机科学与技术,计算机科学与技术(地方专项计划，第一、二学年清远校区，第三、四学年校本部),广州,5710.0,107535,,,505,72335,2.3605,not_executed_missing_cooperation_type_field
16,14622,14619,2024,本科批,11540,广东金融学院,11540226,226组,064,计算机科学与技术,计算机科学与技术(第一、二学年清远校区，第三、四学年校本部),广州,5710.0,112025,,,505,76825,2.5008,not_executed_missing_cooperation_type_field
17,14628,14625,2024,本科批,11540,广东金融学院,11540227,227组,090,计算机科学与技术,计算机科学与技术(第一至四学年均在清远校区，就读)(入学后只允许在本专业组各专业间申请转专业),广州,5710.0,127132,,,505,91932,2.9729,not_executed_missing_cooperation_type_field
